Company,Trip Seconds,Trip Miles,Fare
24 Seven Taxi,1257.5991379310344,11.188448275862068,29.60021551724138
2733 - 74600 Benny Jona,1521.3333333333333,13.693333333333335,36.516666666666666
3011 - 66308 JBL Cab Inc.,504.2201834862385,1.6385321100917432,8.146146788990825
312 Medallion Management Corp,1122.7338129496402,10.182014388489208,28.408273381294965
3556 - 36214 RC Andrews Cab,936.7857142857143,5.160714285714286,16.375
3591 - 63480 Chuks Cab,660.0,2.799173553719008,10.369834710743802
3620 - 52292 David K. Cab Corp.,1510.120481927711,13.830120481927713,35.54216867469879
4623 - 27290 Jay Kim,1462.5,13.839285714285714,35.450892857142854
4787 - 56058 Reny Cab Co,424.0,1.8066666666666669,8.0
5062 - 34841 Sam Mestas,522.2535211267606,2.0528169014084505,8.929577464788732
6743 - 78771 Luhak Corp,668.5714285714286,6.928571428571429,19.428571428571427
Blue Ribbon Taxi Association Inc.,903.163737280296,3.929086705202312,17.199012488436633
Chicago Independents,1407.9845049130763,6.870154716981132,20.16017358490566
Chicago Taxicab,1031.928270042194,5.75337552742616,26.515327695560252
Choice Taxi Association,1288.8311688311687,11.777922077922078,29.86038961038961
City Service,1118.8702309236949,7.964585843373494,22.759819231734873
Flash Cab,1215.0267599538372,5.784821010130141,18.308168018748873
Globe Taxi,1073.6894736842105,5.603919579105599,17.980545112781954
KOAM Taxi Association,550.0,2.915,10.71111111111111
Medallion Leasin,952.5017365749399,5.205703218912782,20.064509751536203
Metro Jet Cab Association Inc.,830.092555331992,2.0024144869215292,15.801858585858586
Patriot Taxi Dba Peace Taxi Associat,1749.9076388888889,5.114135546334716,16.82883817427386
Setare Inc,755.5035211267606,4.988908450704225,15.518485915492958
Star North Management LLC,1070.6324472960587,5.746715551481821,20.73300336083104
Suburban Dispatch LLC,0.0,0.0,35.870065789473685
Sun Taxi,1474.8359938208032,7.332835591920225,21.395014062899513
Taxi Affiliation Services,989.9354546483977,3.4679120530761045,17.96974548830469
"Taxicab Insurance Agency, LLC",875.1153978642783,5.478447237045963,18.72018763986917
Top Cab Affiliation,931.3502935420744,6.292521994134898,19.204139784946236
U Taxicab,1168.0357983984927,9.462458784738578,26.84411681582666
